"DZ_CODE","UR2FOLD","UR6FOLD","UR8FOLD"
"S01002052",1,1,1
"S01002053",1,1,1
"S01002054",1,1,1
"S01002055",1,1,1
"S01002056",1,1,1
"S01002057",1,1,1
"S01002058",1,1,1
"S01002059",1,1,1
"S01002060",1,1,1
"S01002061",1,1,1
"S01002062",1,1,1
"S01002063",1,1,1
"S01002064",1,1,1
"S01002065",1,1,1
"S01002066",1,1,1
"S01002067",1,1,1
"S01002068",1,1,1
"S01002069",1,1,1
"S01002070",1,1,1
"S01002071",1,1,1
"S01002072",1,1,1
"S01002073",1,1,1
"S01002074",1,1,1
"S01002075",1,1,1
"S01002076",1,1,1
"S01002077",1,1,1
"S01002078",1,1,1
"S01002079",1,1,1
"S01002080",1,1,1
"S01002081",1,1,1
"S01002082",1,1,1
"S01002083",1,1,1
"S01002084",1,1,1
"S01002085",1,1,1
"S01002086",1,1,1
"S01002087",1,1,1
"S01002088",1,1,1
"S01002089",1,1,1
"S01002090",1,1,1
"S01002091",1,1,1
"S01002092",1,1,1
"S01002093",1,1,1
"S01002094",1,1,1
"S01002095",1,1,1
"S01002096",1,1,1
"S01002097",1,1,1
"S01002098",1,1,1
"S01002099",1,1,1
"S01002100",1,1,1
"S01002101",1,1,1
"S01002102",1,1,1
"S01002103",1,1,1
"S01002104",1,1,1
"S01002105",1,1,1
"S01002106",1,1,1
"S01002107",1,1,1
"S01002108",1,1,1
"S01002109",1,1,1
"S01002110",1,1,1
"S01002111",1,1,1
"S01002112",1,1,1
"S01002113",1,1,1
"S01002114",1,1,1
"S01002115",1,1,1
"S01002116",1,1,1
"S01002117",1,1,1
"S01002118",1,1,1
"S01002119",1,1,1
"S01002120",1,1,1
"S01002121",1,1,1
"S01002122",1,1,1
"S01002123",1,1,1
"S01002124",1,1,1
"S01002125",1,1,1
"S01002126",1,1,1
"S01002127",1,1,1
"S01002128",1,1,1
"S01002129",1,1,1
"S01002130",1,1,1
"S01002131",1,1,1
"S01002132",1,1,1
"S01002133",1,1,1
"S01002134",1,1,1
"S01002135",1,1,1
"S01002136",1,1,1
"S01002137",1,1,1
"S01002138",1,1,1
"S01002139",1,1,1
"S01002140",1,1,1
"S01002141",1,1,1
"S01002142",1,1,1
"S01002143",1,1,1
"S01002144",1,1,1
"S01002145",1,1,1
"S01002146",1,1,1
"S01002147",1,1,1
"S01002148",1,1,1
"S01002149",1,1,1
"S01002150",1,1,1
"S01002151",1,1,1
"S01002152",1,1,1
"S01002153",1,1,1
"S01002154",1,1,1
"S01002155",1,1,1
"S01002156",1,1,1
"S01002157",1,1,1
"S01002158",1,1,1
"S01002159",1,1,1
"S01002160",1,1,1
"S01002161",1,1,1
"S01002162",1,1,1
"S01002163",1,1,1
"S01002165",1,1,1
"S01002166",1,1,1
"S01002167",1,1,1
"S01002168",1,1,1
"S01002169",1,1,1
"S01002170",1,1,1
"S01002171",1,1,1
"S01002172",1,1,1
"S01002173",1,1,1
"S01002174",1,1,1
"S01002175",1,1,1
"S01002177",1,1,1
"S01002178",1,1,1
"S01002179",1,1,1
"S01002180",1,1,1
"S01002181",1,1,1
"S01002182",1,1,1
"S01002183",1,1,1
"S01002184",1,1,1
"S01002185",1,1,1
"S01002186",1,1,1
"S01002187",1,1,1
"S01002188",1,1,1
"S01002189",1,1,1
"S01002190",1,1,1
"S01002191",1,1,1
"S01002192",1,1,1
"S01002193",1,1,1
"S01002194",1,1,1
"S01002195",1,1,1
"S01002196",1,1,1
"S01002197",1,1,1
"S01002198",1,1,1
"S01002199",1,1,1
"S01002200",1,1,1
"S01002201",1,1,1
"S01002202",1,1,1
"S01002203",1,1,1
"S01002204",1,1,1
"S01002205",1,1,1
"S01002206",1,1,1
"S01002207",1,1,1
"S01002208",1,1,1
"S01002209",1,1,1
"S01002210",1,1,1
"S01002211",1,1,1
"S01002212",1,1,1
"S01002214",1,1,1
"S01002215",1,1,1
"S01002216",1,1,1
"S01002217",1,1,1
"S01002218",1,1,1
"S01002219",1,1,1
"S01002220",1,1,1
"S01002221",1,1,1
"S01002222",1,1,1
"S01002223",1,1,1
"S01002224",1,1,1
"S01002225",1,1,1
"S01002226",1,1,1
"S01002227",1,1,1
"S01002228",1,1,1
"S01002229",1,1,1
"S01002230",1,1,1
"S01002231",1,1,1
"S01002232",1,1,1
"S01002233",1,1,1
"S01002234",1,1,1
"S01002235",1,1,1
"S01002236",1,1,1
"S01002237",1,1,1
"S01002238",1,1,1
"S01002239",1,1,1
"S01002240",1,1,1
"S01002241",1,1,1
"S01002242",1,1,1
"S01002243",1,1,1
"S01002244",1,1,1
"S01002245",1,1,1
"S01002246",1,1,1
"S01002247",1,1,1
"S01002248",1,1,1
"S01002249",1,1,1
"S01002250",1,1,1
"S01002252",1,1,1
"S01002253",1,1,1
"S01002254",1,1,1
"S01002255",1,1,1
"S01002256",1,1,1
"S01002257",1,1,1
"S01002258",1,1,1
"S01002259",1,1,1
"S01002260",1,1,1
"S01002261",1,1,1
"S01002262",1,1,1
"S01002263",1,1,1
"S01002264",1,1,1
"S01002265",1,1,1
"S01002266",1,1,1
"S01002267",1,1,1
"S01002268",1,1,1
"S01002269",1,1,1
"S01002270",1,1,1
"S01002271",1,1,1
"S01002272",1,1,1
"S01002273",1,1,1
"S01002274",1,1,1
"S01002275",1,1,1
"S01002276",1,1,1
"S01002277",1,1,1
"S01002278",1,1,1
"S01002279",1,1,1
"S01002280",1,1,1
"S01002281",1,1,1
"S01002282",1,1,1
"S01002283",1,1,1
"S01002284",1,1,1
"S01002285",1,1,1
"S01002286",1,1,1
"S01002287",1,1,1
"S01002288",1,1,1
"S01002289",1,1,1
"S01002290",1,1,1
"S01002291",1,1,1
"S01002292",1,1,1
"S01002293",1,1,1
"S01002294",1,1,1
"S01002295",1,1,1
"S01002296",1,1,1
"S01002297",1,1,1
"S01002298",1,1,1
"S01002299",1,1,1
"S01002300",1,1,1
"S01002301",1,1,1
"S01002302",1,1,1
"S01002303",1,1,1
